148.370	108.400	0.000
148.110	108.710	0.050
148.730	107.850	0.100
148.510	107.560	0.150
148.850	107.720	0.200
148.870	107.810	0.250
148.110	108.380	0.300
147.500	108.780	0.350
148.180	108.410	0.400
148.110	108.490	0.450
148.230	107.630	0.500
149.990	107.070	0.550
149.400	107.330	0.600
148.100	107.560	0.650
148.550	107.680	0.700
148.830	107.230	0.750
148.300	107.790	0.800
148.040	107.450	0.850
148.420	107.810	0.900
149.150	107.530	0.950
148.860	107.570	1.000
149.220	107.910	1.050
149.100	107.470	1.100
149.030	107.830	1.150
148.910	106.880	1.200
149.140	107.120	1.250
149.260	107.220	1.300
149.420	106.780	1.350
149.730	107.500	1.400
149.250	107.670	1.450
149.690	108.280	1.500
149.590	108.610	1.550
149.270	108.240	1.600
148.810	107.990	1.650
148.770	108.530	1.700
148.700	108.890	1.750
149.230	107.820	1.800
149.630	108.150	1.850
150.060	108.280	1.900
149.980	107.960	1.950
150.130	108.280	2.000
150.450	107.920	2.050
150.170	108.140	2.100
150.240	108.520	2.150
150.270	109.070	2.200
149.550	108.690	2.250
148.910	107.630	2.300
149.570	107.520	2.350
149.630	107.790	2.400
149.730	108.110	2.450
149.510	108.330	2.500
149.240	107.540	2.550
149.100	108.060	2.600
148.820	107.360	2.650
148.750	107.540	2.700
148.730	108.400	2.750
147.630	108.510	2.800
148.090	108.470	2.850
147.660	108.260	2.900
148.250	109.110	2.950
148.800	109.000	3.000
148.090	108.750	3.050
148.250	108.320	3.100
148.470	107.840	3.150
148.040	108.220	3.200
148.100	108.540	3.250
148.030	108.970	3.300
147.820	109.280	3.350
149.100	109.040	3.400
149.340	108.430	3.450
149.010	108.490	3.500
148.440	108.080	3.550
148.530	108.790	3.600
148.360	108.070	3.650
148.580	107.870	3.700
148.620	107.770	3.750
148.800	107.380	3.800
148.920	107.850	3.850
149.400	108.280	3.900
149.010	107.810	3.950
149.350	107.740	4.000
149.180	108.450	4.050
149.330	109.060	4.100
148.680	109.120	4.150
148.990	108.690	4.200
149.400	108.350	4.250
149.570	108.350	4.300
149.190	108.700	4.350
149.420	107.860	4.400
149.120	107.960	4.450
147.600	107.850	4.500
147.960	107.660	4.550
147.930	107.560	4.600
147.220	107.260	4.650
148.270	107.220	4.700
147.550	106.900	4.750
148.610	107.440	4.800
147.850	107.850	4.850
148.810	107.380	4.900
148.930	108.050	4.950
149.280	181.930	0.000
149.950	182.150	0.050
149.070	182.480	0.100
149.750	181.740	0.150
